streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,carspaces,price,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,unitNumber
18,Angler,Pde,Ascot Vale,3032,Vic,-37.7793983,144.9005238,House,4,2,2,1750000,AUVB,Nelson Alexander Ascot Vale,2017796135,4723,Nelson Alexander Ascot Vale,https://www.domain.com.au/real-estate-agencies/nelsonalexanderascotvale-4723,https://www.domain.com.au/18-angler-parade-ascot-vale-vic-3032-2017796135,
12,Eden,Ct,Ascot Vale,3032,Vic,-37.7720777,144.9012116,House,3,1,2,,AUVB,Woodards Ascot Vale,2017792593,26361,Woodards Ascot Vale,https://www.domain.com.au/real-estate-agencies/woodardsascotvale-26361,https://www.domain.com.au/12-eden-court-ascot-vale-vic-3032-2017792593,
11,Regent,St,Ascot Vale,3032,Vic,-37.773617,144.9262359,House,2,1,1,1170000,AUSP,Woodards Ascot Vale,2017773945,26361,Woodards Ascot Vale,https://www.domain.com.au/real-estate-agencies/woodardsascotvale-26361,https://www.domain.com.au/11-regent-street-ascot-vale-vic-3032-2017773945,
101,St Leonards,Rd,Ascot Vale,3032,Vic,-37.7738662,144.9131209,House,3,2,2,1601000,AUSD,Alexkarbon Real Estate,2017791726,20444,Alexkarbon Real Estate Pty Ltd,https://www.domain.com.au/real-estate-agencies/alexkarbonrealestateptyltd-20444,https://www.domain.com.au/101-st-leonards-road-ascot-vale-vic-3032-2017791726,
109,Union,Rd,Ascot Vale,3032,Vic,-37.7760549,144.9152868,House,3,2,2,1280000,AUSP,Nelson Alexander Ascot Vale,2017798886,4723,Nelson Alexander Ascot Vale,https://www.domain.com.au/real-estate-agencies/nelsonalexanderascotvale-4723,https://www.domain.com.au/109-union-road-ascot-vale-vic-3032-2017798886,
70,Nicholas,St,Ashburton,3147,Vic,-37.8734682,145.0743844,House,3,1,2,1835000,AUSP,Marshall White Stonnington,2017798632,4450,Marshall White Stonnington,https://www.domain.com.au/real-estate-agencies/marshallwhitestonnington-4450,https://www.domain.com.au/70-nicholas-street-ashburton-vic-3147-2017798632,
36,Victory,Bvd,Ashburton,3147,Vic,-37.8670803,145.0822036,House,4,3,2,,AUPN,Marshall White Balwyn,2017797356,18210,Marshall White Boroondara,https://www.domain.com.au/real-estate-agencies/marshallwhiteboroondara-18210,https://www.domain.com.au/36-victory-boulevard-ashburton-vic-3147-2017797356,
10,Closter,Av,Ashwood,3147,Vic,-37.8649724,145.0950218,House,3,1,2,,AUSD,Buxton Ashburton,2017742358,15987,Buxton Ashburton,https://www.domain.com.au/real-estate-agencies/buxtonashburton-15987,https://www.domain.com.au/10-closter-avenue-ashwood-vic-3147-2017742358,
89,Huntingdale,Rd,Ashwood,3147,Vic,-37.8615908,145.112561,House,3,2,2,,AUSP,Biggin & Scott Ashburton,2017758987,35450,Biggin & Scott Ashburton,https://www.domain.com.au/real-estate-agencies/bigginscottashburton-35450,https://www.domain.com.au/89-huntingdale-road-ashwood-vic-3147-2017758987,
4,Errol,Cl,Aspendale Gardens,3195,Vic,-38.0221841,145.1228191,House,4,2,2,950000,AUVB,Community Real Estate,2017791318,18816,Community Real Estate,https://www.domain.com.au/real-estate-agencies/communityrealestate-18816,https://www.domain.com.au/4-errol-close-aspendale-gardens-vic-3195-2017791318,
