streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,price,result,agent
378,Balcombe,Rd,Beaumaris,3193,Vic,-37.9782386,145.0426354,Townhouse,3,2,1280000,AUSD,Buxton Sandringham
446,Balcombe,Rd,Beaumaris,3193,Vic,-37.9775459,145.036318,House,4,2,N/A,AUVB,Bayside Beaches Real Estate
41,Dalgetty,Rd,Beaumaris,3193,Vic,-37.9892433,145.0368061,House,4,3,N/A,AUSP,Buxton Chelsea
140,Pellatt,St,Beaumaris,3193,Vic,-37.9801885,145.0436745,House,3,2,2110000,AUSP,Buxton Sandringham
159,Tramway,Pde,Beaumaris,3193,Vic,-37.9829793,145.0438467,House,3,1,1700000,AUVB,Kay & Burton Bayside Brighton
2,Erica,Ct,Bellfield,3081,Vic,-37.753281,145.040617,House,2,1,860000,AUSD,Nelson Alexander Ivanhoe
1,Poplar,Cr,Bellfield,3081,Vic,-37.7522495,145.0352546,House,3,2,990000,AUSP,Nelson Alexander Ivanhoe
12,Frank,St,Belmont,3216,Vic,-38.1688146,144.3474731,House,3,1,730000,AUSD,Barnett Real Estate
58,James,St,Belmont,3216,Vic,-38.183187,144.3377272,House,2,1,N/A,AUPI,BP Real Estate Highton
1,Morris,St,Belmont,3216,Vic,-38.1704039,144.3364036,House,3,2,N/A,AUPN,BP Real Estate Highton
66,Fromer,St,Bentleigh,3204,Vic,-37.9290629,145.0463875,House,3,2,1700000,AUVB,Buxton Hampton East
1,Halley,Ct,Bentleigh,3204,Vic,-37.9222817,145.0494021,House,4,1,1651000,AUSP,Buxton Bentleigh
18,Seaview,Av,Bentleigh,3204,Vic,-37.9166361,145.0441482,House,4,1,N/A,AUVB,Jellis Craig Bentleigh
7-Sep,South,Av,Bentleigh,3204,Vic,-37.9311935,145.0348018,Unit,2,1,N/A,AUSP,Buxton Bentleigh
20,Barrington,St,Bentleigh East,3165,Vic,-37.9127056,145.0686119,House,3,1,1800000,AUSP,Jellis Craig Bentleigh
127,Brady,Rd,Bentleigh East,3165,Vic,-37.9247629,145.0670612,House,4,2,N/A,AUSP,Buxton Bentleigh
6,Brian,St,Bentleigh East,3165,Vic,-37.9248455,145.0511033,House,5,4,2572100,AUSD,Buxton Bentleigh
25,East Boundary,Rd,Bentleigh East,3165,Vic,-37.932892,145.0563705,House,3,1,N/A,AUSD,C21 on Centre
70b,Kennedy,St,Bentleigh East,3165,Vic,-37.92025,145.0816866,Townhouse,4,3,N/A,AUHB,Jellis Craig Bentleigh
58B,Mawby,Rd,Bentleigh East,3165,Vic,-37.9296263,145.0552594,Townhouse,3,2,1352500,AUSP,Buxton Bentleigh
37,Stockdale,Av,Bentleigh East,3165,Vic,-37.9173377,145.067535,House,3,1,N/A,AUSD,Jellis Craig Bentleigh
53,Valkstone,St,Bentleigh East,3165,Vic,-37.9143327,145.0584466,House,3,1,1795000,AUSD,C21 on Centre
36,Vasey,St,Bentleigh East,3165,Vic,-37.9351772,145.0655105,Townhouse,3,3,1186000,AUSP,Buxton Bentleigh
8,Veronica,St,Bentleigh East,3165,Vic,-37.9253168,145.0762368,House,3,1,1270000,AUSD,Gary Peer
37,Warwick,St,Bentleigh East,3165,Vic,-37.9207366,145.0706796,House,4,2,N/A,AUSD,Jellis Craig Bentleigh
20,Orsino,Pl,Berwick,3806,Vic,-38.0430504,145.3298377,House,4,2,N/A,AUPI,C21 Property Specialists
21,Peel,St,Berwick,3806,Vic,-38.0290161,145.3503206,House,6,2,2000000,AUSA,O'Brien Real Estate
260,Beach,Rd,Black Rock,3193,Vic,-37.9705585,145.0122829,Townhouse,4,2,N/A,AUPN,Buxton Sandringham
27,Potter,St,Black Rock,3193,Vic,-37.963801,145.0157739,House,3,2,2640000,AUSD,Buxton Sandringham
32,Red Bluff,St,Black Rock,3193,Vic,-37.963095,145.015493,Townhouse,3,2,1500000,AUSD,Buxton Sandringham
25,Stevens,Pde,Black Rock,3193,Vic,-37.9646581,145.0211983,House,3,2,2315000,AUSD,Buxton Brighton
96,Blackburn,Rd,Blackburn,3130,Vic,-37.8281017,145.1525834,Unit,2,1,N/A,AUSP,Jellis Craig Whitehorse
14,Cootamundra,Cr,Blackburn,3130,Vic,-37.8116863,145.1558432,House,3,2,N/A,AUSP,Jellis Craig Whitehorse
1,Florence,St,Blackburn,3130,Vic,-37.8292603,145.1662354,House,4,2,1500000,AUSD,Fletchers Blackburn
3,Ronley,St,Blackburn,3130,Vic,-37.8301628,145.1517897,House,4,2,1640000,AUSD,Jellis Craig Whitehorse
136,Springfield,Rd,Blackburn,3130,Vic,-37.8111442,145.1564035,House,4,2,1080000,AUSP,Woodards Blackburn
35,Mungala,Cr,Blairgowrie,3942,Vic,-38.3815638,144.7816972,House,2,1,N/A,AUSD,Belle Property Blairgowrie
25,Coast Banksia,Dr,Bonbeach,3196,Vic,-38.0655788,145.1243709,House,3,2,1150000,AUSP,O'Brien Real Estate
544,Nepean,Hwy,Bonbeach,3196,Vic,-38.0640639,145.1194216,Townhouse,3,2,1260000,AUVB,O'Brien Real Estate
12,Williams,Gr,Bonbeach,3196,Vic,-38.0629688,145.118164,House,4,3,1905000,AUSD,Belle Property Mentone
15,Duncan,Av,Boronia,3155,Vic,-37.8555021,145.2733404,Townhouse,3,2,852500,AUSA,Ray White Ferntree Gully
1a,Duncan,Av,Boronia,3155,Vic,-37.8538563,145.2735563,Unit,2,1,700000,AUSD,Ray White Ferntree Gully
4,New,St,Boronia,3155,Vic,-37.8471908,145.2929677,House,4,2,N/A,AUPN,Barry Plant Boronia
5,Howard,St,Box Hill,3128,Vic,-37.8230691,145.1222157,House,3,2,N/A,AUVB,Ray White Manningham
8,Barwon,St,Box Hill North,3129,Vic,-37.811043,145.1175291,Unit,2,1,655000,AUSD,The One Real Estate
